subject_id,subject_name,item_number,score,grade
5130301,Xiaodaokeng1,1,98,A
5130301,Xiaodaokeng1,2,98,A
5130301,Xiaodaokeng1,3,98,A
5130301,Xiaodaokeng1,4,69,。
5130301,Xiaodaokeng1,5,69,D
5130301,Xiaodaokeng1,6,89,B
5130301,Xiaodaokeng1,7,94,A
5130301,Xiaodaokeng1,8,89,B
5130301,Xiaodaokeng1,9,75,C
5130302,xiaodaogao2,1,78,C
5130302,xiaodaogao2,2,89,B
5130302,xiaodaogao2,3,97,A
5130302,xiaodaogao2,4,71,C
5130302,xiaodaogao2,5,74,C
5130302,xiaodaogao2,6,87,B
5130302,xiaodaogao2,7,85,B
5130302,xiaodaogao2,8,84,B
5130302,xiaodaogao2,9,85,B
5130303,Xiaodaokeng3,1,57,D
5130303,Xiaodaokeng3,2,87,B
5130303,Xiaodaokeng3,3,96,A
5130303,Xiaodaokeng3,4,75,C
5130303,Xiaodaokeng3,5,78,C
5130303,Xiaodaokeng3,6,91,A
5130303,Xiaodaokeng3,7,76,A
5130303,Xiaodaokeng3,8,81,B
5130303,Xiaodaokeng3,9,65,0
5130304,xiaodaogao4,1,67,D
5130304,xiaodaogao4,2,85,B
5130304,xiaodaogao4,3,89,B
5130304,xiaodaogao4,4,84,B
5130304,xiaodaogao4,5,81,B
5130304,xiaodaogao4,6,93,A
5130304,xiaodaogao4,7,82,B
5130304,xiaodaogao4,8,79,A
5130304,xiaodaogao4,9,91,A
5130305,Xiaodaogao5,1,81,B
5130305,Xiaodaogao5,2,93,C
5130305,Xiaodaogao5,3,87,B
5130305,Xiaodaogao5,4,88,8
5130305,Xiaodaogao5,5,83,B
5130305,Xiaodaogao5,6,88,B
5130305,Xiaodaogao5,7,91,A
5130305,Xiaodaogao5,8,81,B
5130305,Xiaodaogao5,9,93,A
5130306,xiaodaogao6,1,84,B
5130306,xiaodaogao6,2,91,A
5130306,xiaodaogao6,3,85,8
5130306,xiaodaogao6,4,91,A
5130306,xiaodaogao6,5,84,B
5130306,xiaodaogao6,6,86,8
5130306,xiaodaogao6,7,63,。
5130306,xiaodaogao6,8,91,A
5130306,xiaodaogao6,9,78,C
5130307,xiaodaogao7,1,86,B
5130307,xiaodaogao7,2,67,D
5130307,xiaodaogao7,3,78,C
5130307,xiaodaogao7,4,93,A
5130307,xiaodaogao7,5,85,B
5130307,xiaodaogao7,6,69,D
5130307,xiaodaogao7,7,65,。
5130307,xiaodaogao7,8,62,D
5130307,xiaodaogao7,9,88,8
5130308,Xiaodaogao8,1,79,C
5130308,Xiaodaogao8,2,73,C
5130308,Xiaodaogao8,3,86,B
5130308,Xiaodaogao8,4,75,C
5130308,Xiaodaogao8,5,88,B
5130308,Xiaodaogao8,6,71,C
5130308,Xiaodaogao8,7,91,A
5130308,Xiaodaogao8,8,65,D
5130308,Xiaodaogao8,9,93,A
5130309,Xiaodaogao9,1,73,C
5130309,Xiaodaogao9,2,84,B
5130309,Xiaodaogao9,3,84,B
5130309,Xiaodaogao9,4,78,C
5130309,Xiaodaogao9,5,89,B
5130309,Xiaodaogao9,6,73,C
5130309,Xiaodaogao9,7,89,B
5130309,Xiaodaogao9,8,71,C
5130309,Xiaodaogao9,9,72,C
5130310,xiaodaoguo10,1,91,A
5130310,xiaodaoguo10,2,81,B
5130310,xiaodaoguo10,3,76,C
5130310,xiaodaoguo10,4,81,B
5130310,xiaodaoguo10,5,91,C
5130310,xiaodaoguo10,6,75,C
5130310,xiaodaoguo10,7,85,B
5130310,xiaodaoguo10,8,93,A
5130310,xiaodaoguo10,9,67,D
